# DELS~J020611.20-025537.8    02:06:11.20 -02:55:37.8     6.00        -25.82
# DELS~J162911.29+240739.6    16:29:11.29 +24:07:39.6     6.476       -26.32
# VDES_J0224-4711         02:24:26.54     -47:11:29.4     6.526       -26.98
         Ref  Ref-Num                              Ref-Name        QSO-Name              IAU-Name            RA           Dec  Redshift  M_1450
  Banados+16        1                 PSO~J000.3401+26.8358  QSO_J0001+2650  J000121.63+265009.17   00:01:21.63   26:50:09.17      5.75  -27.16
  Banados+16        2                       SDSS~J0002+2550  QSO_J0002+2550  J000239.39+255034.96   00:02:39.39   25:50:34.96      5.82  -27.31
  Banados+16        3                      SDSS~J0005--0006  QSO_J0005-0006  J000552.34-000655.80   00:05:52.34  -00:06:55.80      5.85  -25.73
  Banados+16        4                PSO~J002.1073--06.4345  QSO_J0008-0626  J000825.77-062604.42   00:08:25.77  -06:26:04.42      5.93  -26.32
  Banados+16        5                 PSO~J002.3786+32.8702  QSO_J0009+3252  J000930.89+325212.94   00:09:30.89   32:52:12.94       6.1  -25.65
  Banados+16        6                 PSO~J004.3936+17.0862  QSO_J0017+1705  J001734.47+170510.70   00:17:34.47   17:05:10.70       5.8  -26.01
  Banados+16        7                PSO~J004.8140--24.2991  QSO_J0019-2417  J001915.38-241756.98   00:19:15.38  -24:17:56.98      5.68  -27.24
  Banados+16        8                 PSO~J006.1240+39.2219  QSO_J0024+3913  J002429.77+391318.98  00:24:29.772  +39:13:18.98      6.61  -25.95
  Banados+16        9                 PSO~J007.0273+04.9571  QSO_J0028+0457  J002806.56+045725.64   00:28:06.56   04:57:25.64    6.0008  -26.64
  Banados+16       10                     CFHQS~J0033--0125  QSO_J0033-0125  J003311.40-012524.90   00:33:11.40  -01:25:24.90      6.13  -25.14
  Banados+16       13                PSO~J009.3573--08.1190  QSO_J0037-0807  J003725.76-080708.46   00:37:25.76  -08:07:08.46      5.72  -26.51
  Banados+16       14                PSO~J009.7355--10.4316  QSO_J0038-1025  J003856.52-102553.90   00:38:56.52  -10:25:53.90    6.0039  -26.54
  Banados+16       11                 PSO~J011.3898+09.0324  QSO_J0045+0901  J004533.57+090156.96    0:45:33.57    9:01:56.96      6.42  -26.01
  Banados+16       12                       VIK~J0046--2837  QSO_J0046-2837  J004623.65-283747.34   00:46:23.65  -28:37:47.34      5.99  -25.48
  Banados+16       15                      CFHQS~J0050+3445  QSO_J0050+3445  J005006.67+344521.65   00:50:06.67   34:45:21.65     6.253   -26.7
  Banados+16       16                      CFHQS~J0055+0146  QSO_J0055+0146  J005502.91+014618.30   00:55:02.91   01:46:18.30     6.006  -24.81
  Banados+16       17                       SDSS~J0100+2802  QSO_J0100+2802  J010013.02+280225.92   01:00:13.02   28:02:25.92    6.3258  -29.14
  Banados+16       18                     CFHQS~J0102--0218  QSO_J0102-0218  J010250.64-021809.90   01:02:50.64  -02:18:09.90      5.95   -24.6
  Banados+16       19                       VIK~J0109--3047  QSO_J0109-3047  J010953.13-304726.31   01:09:53.13  -30:47:26.31    6.7909  -25.64
  Banados+16       20                PSO~J021.4213--25.8822  QSO_J0125-2552  J012541.12-255256.24   01:25:41.12  -25:52:56.24      5.79  -27.08
  Banados+16       21                      SDSS~J0129--0035  QSO_J0129-0035  J012958.51-003539.70   01:29:58.51  -00:35:39.70    5.7787  -23.89
  Banados+16       22                PSO~J023.0071--02.2675  QSO_J0132-0216  J013201.70-021603.11   01:32:01.70  -02:16:03.11       5.9  -26.46
  Banados+16       23                      CFHQS~J0136+0226  QSO_J0136+0226  J013603.17+022605.70   01:36:03.17   02:26:05.70      6.21  -24.66
  Banados+16       24                PSO~J025.2376--11.6831  QSO_J0140-1140  J014057.03-114059.48   01:40:57.03  -11:40:59.48      5.85  -26.87
